Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2024-08-08,2684.374267578125,2709.9589602433616,2671.802877884067,2704.802745858555,1464161
2024-08-09,2698.1240234375,2708.731140398547,2670.035077161717,2706.7668683605493,1284031
2024-08-12,2699.597412109375,2714.0347646202626,2673.767185087147,2689.0886039431816,1297178
2024-08-13,2692.427734375,2708.3874455598543,2681.3297885745224,2693.017111930474,1051237
2024-08-14,2673.42333984375,2693.5571277916943,2658.2493866388413,2692.0347690397707,946995
2024-08-16,2699.155517578125,2704.410041587385,2662.276259330236,2688.9903131038814,1727926
2024-08-19,2693.557373046875,2710.450065785462,2688.1556245689985,2700.923393698525,1130327
2024-08-20,2701.9052734375,2707.012332648906,2686.191097538223,2693.557117491009,1097889
2024-08-21,2741.338134765625,2745.1686092840487,2693.9500696623318,2700.3831088394704,1417729
2024-08-22,2742.90966796875,2759.8023604397786,2732.4008599613726,2752.878253181033,1552947
2024-08-23,2765.302490234375,2770.605929245698,2721.842967948263,2749.1953143782575,2111401
2024-08-26,2770.7529296875,2784.306454684024,2753.516634404879,2765.302266614152,1152244
2024-08-27,2717.47216796875,2773.6505424131697,2710.2536117967543,2758.8201919983567,1357212
2024-08-28,2714.968017578125,2732.05708976631,2696.700190249248,2710.6956296414182,1723549
2024-08-29,2735.49462890625,2759.802497882259,2695.9636500664774,2720.46789831067,2129934
2024-08-30,2728.373779296875,2765.9896356570066,2710.793640993541,2745.7575383581343,4029712
2024-09-02,2739.2265625,2758.7218189707755,2729.3560473703096,2744.0880879282636,957950
2024-09-03,2744.3828125,2777.431594671127,2725.4275387789367,2730.338219028989,2022116
2024-09-04,2790.494140625,2793.047790347769,2722.137373463823,2730.3383056533216,1640986
2024-09-05,2787.743896484375,2803.998295329095,2773.208235649051,2789.315410004685,1945173
2024-09-06,2788.235107421875,2815.2438489540923,2777.579075084932,2777.579075084932,1672730
2024-09-09,2869.605224609375,2885.7121602867783,2792.4092333985304,2802.132524383947,3342754
2024-09-10,2846.819580078125,2885.1228850813986,2835.9177742808565,2881.5870994770676,1536584
2024-09-11,2852.2705078125,2897.301544681397,2846.3287761290712,2859.587613706427,1913665
2024-09-12,2903.5869140625,2910.461866392976,2842.4980998818455,2858.99803343085,2454564
2024-09-13,2880.555908203125,2903.5869508461233,2866.3640900970026,2903.5869508461233,1902001
2024-09-16,2815.88232421875,2858.015864243818,2757.248611056695,2858.015864243818,1489057
2024-09-17,2822.16796875,2861.8461696670556,2809.007441456139,2815.8823938769674,1098661
2024-09-18,2824.47607421875,2841.859834464301,2810.5787051505986,2822.659026602358,464796
2024-09-19,2859.734619140625,2881.881834834658,2822.0206910547518,2824.8687896636807,1713010
2024-09-20,2924.408203125,2935.948300941952,2843.676433382123,2872.551375191689,3641632
2024-09-23,2974.4482421875,2980.78297188193,2916.894972584743,2926.765488042224,1300470
2024-09-24,2897.841552734375,2966.0508530379457,2893.4710952942037,2966.0508530379457,1929308
2024-09-25,2896.27001953125,2907.4665142251797,2853.2034981588977,2897.8415331028104,1055354
2024-09-26,2932.756591796875,2939.3860102179674,2888.6585387282416,2898.3818296134314,1902889
2024-09-27,2913.260986328125,2975.8721579685525,2900.0021499807403,2932.7564823506304,2977081
2024-09-30,2905.453125,2944.3455687168207,2890.033636969115,2911.247631783933,1627702
2024-10-01,2871.520263671875,2909.774414696781,2839.7480666811316,2909.774414696781,1184642
